times,traces
65.0,-9.689549967043327
65.3125,-12.742053019546379
65.625,-6.637046914540274
65.9375,1.9099616324682733
66.25,8.625468347974989
66.5625,7.404467126973769
66.875,1.9099616324682733
67.1875,-5.416045693539053
67.5,-4.195044472537832
67.8125,-1.75304203053539
68.125,0.6889604114670522
68.4375,0.6889604114670522
68.75,1.9099616324682733
69.0625,6.793966516473157
69.375,8.014967737474379
69.6875,6.183465905972547
70.0,1.2994610219676628
70.3125,-6.026546304039663
70.625,-10.910551188044549
70.9375,-10.300050577543937
71.25,-6.026546304039663
71.5625,-0.5320408095341689
71.875,2.5204622429688834
72.1875,7.404467126973769
72.5,9.235968958475599
72.8125,9.235968958475599
73.125,1.9099616324682733
73.4375,-8.468548746042107
73.75,-15.184055461548821
74.0625,-11.521051798545159
74.375,-2.974043251536611
74.6875,5.572965295471937
75.0,5.572965295471937
75.3125,4.3519640744707155
75.625,-0.5320408095341689
75.9375,-2.3635426410360005
76.25,-1.1425414200347794
76.5625,4.3519640744707155
76.875,6.793966516473157
77.1875,7.404467126973769
77.5,-1.75304203053539
77.8125,-7.8580481355414955
78.125,-9.689549967043327
78.4375,-4.195044472537832
78.75,8.625468347974989
79.0625,15.340975063481704
79.375,11.677971400478041
79.6875,1.9099616324682733
80.0,-10.907094528058172
80.3125,-14.570098191061836
80.625,-10.296593917557562
80.9375,1.3029176819540387
81.25,11.681428060464418
81.5625,14.73393111296747
81.875,5.576421955458312
82.1875,-10.296593917557562
82.5,-13.959597580561224
82.8125,-6.023089644053288
83.125,2.52391890295526
83.4375,4.355420734457091
83.75,2.52391890295526
84.0625,0.08191646095281757
84.375,-0.528584149547793
84.6875,3.13441951345587
85.0,3.74492012395648
85.3125,1.3029176819540387
85.625,-3.5810872020508455
85.9375,-1.1390847600484035
86.25,-0.528584149547793
86.5625,1.3029176819540387
86.875,1.9134182924546492
87.1875,1.3029176819540387
87.5,3.13441951345587
87.8125,2.52391890295526
88.125,5.576421955458312
88.4375,4.355420734457091
88.75,1.9134182924546492
89.0625,-6.023089644053288
89.375,-11.517595138558782
89.6875,-15.180598801562446
